whispertinyEntranscription_text,whisperbaseEntranscription_text,whispersmallEntranscription_text,whispermediumEntranscription_text,whisperturbotranscription_text,whisperlargetranscription_text,transcription,filename,id,whispertinyEnwer,whispersmallEnwer,whispermediumEnwer,whisperlargewer,whisperturbower
 I feel dizzy after doing a muscular effort., I feel dizzy after doing a muscular effort., I feel dizzy after doing a muscular effort, I feel dizzy after doing a muscular effort., I feel dizzy after doing a muscular effort., I feel dizzy after doing a muscular effort.,I feel dizzy after doing a muscular effort.,train_sample_0.wav,train_sample_0.wav,0.0,12.5,0.0,0.0,0.0
 I break out on my face very frequently., I break out on my face very frequently., I break out on my face very frequently., I break out on my face very frequently., I break out on my face very frequently., I break out on my face very frequently.,I break out on my face very frequently,train_sample_1.wav,train_sample_1.wav,12.5,12.5,12.5,12.5,12.5
 Sometimes my body feels weak without freezing., Sometimes my body will speak without breathing., Sometimes my body feels weak without breathing., Sometimes my body feels weak without breathing., Sometimes my body feels weak without reason., Sometimes my body feels weak without reason.,Sometimes my body feels week without reason,train_sample_2.wav,train_sample_2.wav,28.57142857142857,28.57142857142857,28.57142857142857,28.57142857142857,28.57142857142857
 They feel like a swollen knot at my shoulder blade with pain shooting from that., There feels like a swollen knot at my shoulder blade with pain shooting from that., There feels like a swollen knot at my shoulder blade with pain shooting from that., There feels like a swollen knot at my shoulder blade with pain shooting from that., There feels like a swollen knot at my shoulder blade with pain shooting from that., There feels like a swollen knot at my shoulder blade with pain shooting from that.,There feels like a swollen knot at my shoulderblade with pain shooting from that,train_sample_3.wav,train_sample_3.wav,35.714285714285715,21.428571428571427,21.428571428571427,21.428571428571427,21.428571428571427
 I feel jiggy like an ice cube. My sister said that she needs several lunglets to go over her so that she is one enough., I feel cheesy like an ice cube. My sister said that she needs several blankets to cover her. So that she is warm enough., I feel chilly like an ice cube. My sister said that she needs several blankets to cover her so that she is warm enough., I feel chilly like an ice cube. My sister said that she needs several blankets to cover her so that she is warm enough., I feel chilly like an ice cube. My sister said that she needs several blankets to cover her so that she is warm enough.," মাক্যা সিখেরা, সিখেখল চাদাকে。 মাক্যা সিক্তারে এখার কেলি এছা।","I feel chilly, like an ice cube.  My sister said that she needs several blankets to cover her so that she is warm enough.",train_sample_1365.wav,train_sample_1365.wav,20.833333333333336,4.166666666666666,4.166666666666666,100.0,4.166666666666666
 When I get out of bed in the morning my body feels very weak., When I get out of bed in the morning my body feels very weak.," When I get out of bed in the morning, my body feels very weak."," When I get out of bed in the morning, my body feels very weak."," When I get out of bed in the morning, my body feels very weak."," When I get out of bed in the morning, my body feels very weak.",When I get out of bed in the morning my body feels very weak.,train_sample_4.wav,train_sample_4.wav,0.0,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142
" My knee feels weak and it gave away the other day. At the top of the stairs, luckily there was a very little ball done."," My knee feels weak and it gave away the other day. At the top of the stairs, luckily there was a range to go down to."," My knee feels weak and it gave way the other day. At the top of the stairs, luckily there was a rail to ball down to."," My knee feels weak and it gave away the other day. At the top of the stairs, luckily there was a rail to go downtown.", My knee feels weak and it gave way the other day at the top of the stairs. Luckily there was a rail to hold down to., My knee feels weak and it gave away the other day at the top of the stairs. Luckily there was a rail to hold on to.,My knee feels weak and it gave way the other day at the top of the stairs.  Luckily there was a rail to hold on to.,train_sample_5.wav,train_sample_5.wav,38.46153846153847,23.076923076923077,30.76923076923077,3.8461538461538463,3.8461538461538463
 The pain in my ear is unbearable., The pain in my ear is unbearable., The pain in my ear is unbearable., The pain in my ear is unbearable., The pain in my ear is unbearable., The pain in my ear is unbearable.,The pain in my ear is unbearable.,train_sample_6.wav,train_sample_6.wav,0.0,0.0,0.0,0.0,0.0
" When I wake up in the morning, I feel a soldier in my body."," When I wake up in the morning, I feel a soreness in my body."," When I wake up in the morning, I feel a soreness in my body."," When I wake up in the morning, I feel a soreness in my body."," When I wake up in the morning, I feel a soreness in my body.", সে সোডা করান পর প্রভামি স্থাকের সাই যামি আমাদ ভেনে সাইত করয়ে সুমেরায় এক সোডা ইনি সোডা নিএ।,When I wake up in the morning I feel a soreness in my body,train_sample_7.wav,train_sample_7.wav,21.428571428571427,14.285714285714285,14.285714285714285,128.57142857142858,14.285714285714285
" My stomach eggs when I eat hot food, why?", My stomach aches when I eat hot food. Why?, My stomach aches when I eat hot food. Why?, My stomach aches when I eat hot food. Why?, My stomach aches when I eat hot food. Why?, My stomach aches when I eat hot food. Why?,"My stomach aches when I eat hot food, why?",train_sample_8.wav,train_sample_8.wav,11.11111111111111,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222
 My throat is so solid., My throat is so sore., My throat is so sore., My throat is so sore., My throat is so sore, My throat is so sore.,My throught is so sore.,train_sample_9.wav,train_sample_9.wav,40.0,20.0,20.0,20.0,40.0
" I have a blurry vision and I can't see in the darkness. What is the reason, doctor?"," I have a blurry vision and I can't see in the darkness. What is the reason, doctor?", I have a blurry vision and I can't see in the darkness. What is the reason doctor?," I have a blurry vision and I can't see in the darkness. What is the reason, Doctor?"," I have a blurry vision and I can't see in the darkness. What is the reason, Doctor?", I have a blurry vision and I can't see in the darkness. What is the reason doctor?,"I have a blurry vision and i can't see in the darkness , what is the reason doctor ?",train_sample_10.wav,train_sample_10.wav,36.84210526315789,31.57894736842105,36.84210526315789,31.57894736842105,36.84210526315789
 The WhatsApp was during a headboard in my twenties. I just heard that I was going to type from brain and dimension., The work set was during a headboard in my 20s. I sincerely thought I was going to die from brain inflammation., The worst headache was during a haverver in my twenties. I sincerely thought I was going to die from brain inflammation, The worst headache was during a hamburger in my 20s. I since nearly thought I was going to die from brain inflammation., The worst headache was during a hangover in my 20s. I sincerely thought I was going to die from brain inflammation., The worst headache was during a hair barber in my 20s. I sincerely thought I was going to die from brain inflammation.,The worst headache was during a hangover in my twenties: I sincerely thought I was going to die from brain inflammation.,train_sample_11.wav,train_sample_11.wav,47.61904761904761,14.285714285714285,19.047619047619047,14.285714285714285,4.761904761904762
 I feel pain in my shoulders when I write on the key board., I feel pain in my shoulders when I write on the keyboard., I feel pain in my shoulders when I write on the keyboards., I feel pain in my shoulders when I write on the keyboard, I feel pain in my shoulders when I write on the keyboard., I feel pain in my shoulders when I write on the keyboard,I feel pain in my shoulders when I write on the keyboard.,train_sample_12.wav,train_sample_12.wav,16.666666666666664,8.333333333333332,8.333333333333332,8.333333333333332,0.0
 I have a split on my thumb that will not heal., I have a split on my thumb that will not heal., I have a split on my thumb that will not heal., I have a split on my thumb that will not heal., I have a split on my thumb that will not heal., I have a split on my thumb that will not heal.,I have a split on my thumb that will not heal.,train_sample_13.wav,train_sample_13.wav,0.0,0.0,0.0,0.0,0.0
 I am in need for a treatment for my other one., I am in need for a treatment for my guesser wall., I am in need for a treatment for my ether volume., I am in need for a treatment for my air volume., I am in need for a treatment for my hair problem., I am in need for a treatment for my hair fall.,I'm in need for a treatment for my hair fall,train_sample_14.wav,train_sample_14.wav,40.0,40.0,40.0,30.0,30.0
