filename,transcription
train_sample_0.wav,I feel dizzy after doing a muscular effort.
train_sample_1.wav,I break out on my face very frequently
train_sample_2.wav,Sometimes my body feels week without reason
train_sample_3.wav,There feels like a swollen knot at my shoulderblade with pain shooting from that
train_sample_4.wav,When I get out of bed in the morning my body feels very weak.
train_sample_5.wav,My knee feels weak and it gave way the other day at the top of the stairs.  Luckily there was a rail to hold on to.
train_sample_6.wav,The pain in my ear is unbearable.
train_sample_7.wav,When I wake up in the morning I feel a soreness in my body
train_sample_8.wav,"My stomach aches when I eat hot food, why?"
train_sample_9.wav,My throught is so sore.
train_sample_10.wav,"I have a blurry vision and i can't see in the darkness , what is the reason doctor ?"
train_sample_11.wav,The worst headache was during a hangover in my twenties: I sincerely thought I was going to die from brain inflammation.
train_sample_12.wav,I feel pain in my shoulders when I write on the keyboard.
train_sample_13.wav,I have a split on my thumb that will not heal.
train_sample_14.wav,I'm in need for a treatment for my hair fall
train_sample_15.wav,"My mind feels very sad, as if it hurts.  The way I feel in my head is awful and when I think about my break-up, I cry with sadness."
train_sample_16.wav,I have a feeling like my whole body is complaining
train_sample_17.wav,I feel dizzy when i make sudden movements
train_sample_18.wav,longitudinal burning line across back with hard respiratory movements
train_sample_19.wav,I don't know why I'm constantly sad.
train_sample_20.wav,It feels like someone is hitting my head with a hammer.  I feel pain on the top of my head and it throbs.
train_sample_21.wav,itch at front and center of scalp
train_sample_22.wav,i hit the ground when trying to shoot a basketball
train_sample_23.wav,I can't walk well I have an ache in my foot
train_sample_24.wav,My biceps started aching after I went to the gym
train_sample_25.wav,I feel pain in my knee when I climb the stairs.
train_sample_26.wav,It feels like I can't take a deep breath
train_sample_27.wav,It feels like my heart is going to leap out of my body. It hurts.
train_sample_28.wav,When I get out of bed in the morning my body feels very weak.
train_sample_29.wav,glass broken and wound my leg badly the wound is so wide
train_sample_30.wav,i can't rotate my neck
train_sample_31.wav,My back is hurting so much.
train_sample_32.wav,i have disterbance in my emotion
train_sample_33.wav,I felt my heart hurts when I ran for along distance
train_sample_34.wav,I have a pain in my joint
